u,v,key,osmid,highway,maxspeed,name,oneway,ref,reversed,length,geometry,lanes,access,bridge,junction,tunnel,area,width,service
353631216,353631213,0,31608354,residential,,,False,,True,48.57245439728695,"LINESTRING (78.2835793 17.5098822, 78.2835939 17.5094456)",,,,,,,,
3602324946,3602324569,0,354537549,residential,,,False,,False,84.93962964457619,"LINESTRING (78.3811068 17.5007789, 78.3810974 17.5006184, 78.3810458 17.5004939, 78.3808452 17.5002308, 78.3807047 17.5001782)",,,,,,,,
3550390709,3550390700,0,267648428,residential,,,False,,True,25.139097498435824,"LINESTRING (78.4283559 17.3467742, 78.4281869 17.3466158)",,,,,,,,
2231529066,2231529052,0,213462268,residential,,,False,,True,28.726212638119936,"LINESTRING (78.5577119 17.4583998, 78.5579685 17.4583172)",,,,,,,,
10038892950,10384248286,0,1129143544,tertiary,,Bogulkunta Road,True,,False,34.20472117365882,"LINESTRING (78.4802269 17.3898667, 78.4802008 17.3901733)",,,,,,,,
2229000458,2229000521,0,213155348,residential,,,False,,False,66.17001126594454,"LINESTRING (78.367739 17.4931121, 78.3677032 17.4937062)",,permissive,,,,,,
3598253775,1404688752,0,126808388,residential,,,False,,True,59.23047801952117,"LINESTRING (78.4901566 17.4190405, 78.4901771 17.419286, 78.4902211 17.4195693)",,,,,,,,
4177726410,3612555813,0,355694235,residential,,,False,,True,60.04802707974632,"LINESTRING (78.4942835 17.3707395, 78.4942672 17.3701997)",,,,,,,,
2738996963,4208812594,0,268552366,residential,,,False,,False,59.98863162141895,"LINESTRING (78.4298048 17.3521066, 78.4296863 17.3526341)",,,,,,,,
13386975596,4269634335,0,1459614733,residential,,,False,,False,20.1437361471114,"LINESTRING (78.4193037 17.454615, 78.4194936 17.4546145)",,,,,,,,
309700566,11865710129,0,1360566679,residential,,Lane C,False,,False,83.5533154778829,"LINESTRING (78.5170494 17.4034883, 78.5167698 17.4035995, 78.516721 17.4036186, 78.5163213 17.4037745)",,permissive,,,,,,
3598310085,7709926514,0,"[825705453, 1180131358]",residential,,,False,,"[False, True]",117.86176791029798,"LINESTRING (78.578563 17.4445503, 78.5793417 17.4442295, 78.5794098 17.4439873)",,,,,,,,
11054223470,4009708694,0,281249822,residential,,,False,,True,51.94329351463808,"LINESTRING (78.2859047 17.5148238, 78.2857173 17.5143922)",,,,,,,,
11283761108,2234501454,0,213819070,residential,,,False,,True,69.26501653697211,"LINESTRING (78.518202 17.4272992, 78.5182863 17.4279169)",,,,,,,,
4496335351,4564451192,0,452822230,residential,,,False,,False,70.99243855172453,"LINESTRING (78.610413 17.3411913, 78.6105652 17.341813)",,,,,,,,
1309541349,1309540843,0,116038930,residential,,,False,,True,101.21012580718455,"LINESTRING (78.4650667 17.3992924, 78.4649509 17.3993595, 78.4648886 17.3993735, 78.464729 17.3994356, 78.4646954 17.3994695, 78.4646773 17.3995066, 78.4646827 17.3995636, 78.4647249 17.3996487, 78.4649 17.3999174)",,,,,,,,
1324646728,1324650494,0,117615427,residential,,,False,,True,30.59060538320501,"LINESTRING (78.56684 17.3433393, 78.5667975 17.3430672)",,,,,,,,
4246457961,3612553494,0,355700384,residential,,,False,,False,126.0205751514717,"LINESTRING (78.4660136 17.3649388, 78.4661385 17.3648, 78.4662457 17.3646198, 78.4665886 17.3639526)",,,,,,,,
1317176696,12241245000,0,116937184,residential,,,False,,False,12.141892802011968,"LINESTRING (78.539318 17.3904836, 78.5392037 17.3904785)",,,,,,,,
6650002838,2236750465,0,214877041,tertiary,,Road No. 12,False,,True,4.064359124260245,"LINESTRING (78.5612075 17.4314047, 78.5612439 17.4314161)",,,,,,,,
315060295,3669911919,0,355694410,residential,,,False,,False,31.24592399697592,"LINESTRING (78.4918727 17.4100961, 78.4921668 17.4100816)",,,,,,,,
7712535669,10264220066,0,826041709,primary,60,Boyiguda Road,True,,False,99.34818975145498,"LINESTRING (78.5008491 17.42125, 78.5010651 17.4215949, 78.5011745 17.4217695, 78.501319 17.4219916, 78.5013318 17.4220155)",2,,,,,,,
2730562464,3981636543,0,267610507,residential,,,False,,False,37.32517041612243,"LINESTRING (78.4557029 17.3148795, 78.4553696 17.3149864)",,,,,,,,
2852571089,2852571087,0,349082781,residential,,,False,,False,25.164016444160936,"LINESTRING (78.4256436 17.5198727, 78.4258645 17.51979)",,,,,,,,
13271753611,11039422397,0,28110558,secondary,50,Asif Nagar road,False,,False,27.46451762251777,"LINESTRING (78.4497927 17.3908567, 78.4495987 17.3910202)",,,,,,,,
11169232917,7713436966,0,826127679,residential,,,False,,False,49.83321901337461,"LINESTRING (78.4987346 17.4916662, 78.4988585 17.4920985)",,,,,,,,
2859385940,3612544890,0,363229693,residential,,,False,,True,32.08450898205222,"LINESTRING (78.4919627 17.3379039, 78.4916609 17.3378877)",,,,,,,,
2460227844,2460227863,0,28128595,residential,,Jamia Masjid Road,False,,False,32.536518716005624,"LINESTRING (78.4930972 17.4204756, 78.493095 17.4207682)",,,,,,,,
1752918281,6019082656,0,312376961,residential,,,False,,False,257.7366698704214,"LINESTRING (78.428851 17.4706988, 78.4293392 17.4694937, 78.4294495 17.4691832, 78.4295028 17.4690754, 78.4295357 17.4690088, 78.4295478 17.4689307, 78.4296235 17.4687386, 78.4296841 17.4686043, 78.4297619 17.4686144)",,,,,,,,
2786981825,2786981844,0,273787152,residential,20.0,Sai Baba Nagar road no. 7,False,,False,32.42108540550567,"LINESTRING (78.4650774 17.4996199, 78.4651457 17.4999041)",,,,,,,,
3598313389,3598313391,0,274964927,residential,,,False,,False,19.05480915465562,"LINESTRING (78.5649897 17.4605879, 78.5648105 17.4605999)",,,,,,,,
11836588055,13321353647,0,1452284866,residential,,,False,,True,16.035294055086244,"LINESTRING (78.4891565 17.3686478, 78.4891752 17.3687909)",,,,,,,,
2720667276,2720667272,0,266533916,residential,,,False,,True,71.45461786234686,"LINESTRING (78.4286049 17.3343944, 78.4284854 17.333762)",,,,,,,,
